start	end	text
392	1254	Thank you.
139399	139761	Thank you.
185923	202166	Conchai 5523604
209650	209990	Okay.
210010	211911	So, can I have the answer?
211931	212352	Thank you.
230845	233227	Hi.
233287	235268	My feet are driving me crazy.
235308	237690	Can you give me something to fix it quickly?
238151	238371	Sure.
238391	240172	I am in your pharmacy today.
240192	240953	My name is Charlie.
241313	244035	So, who is the medication for?
244135	244976	That is for me.
245296	248799	Before I give you any recommendations, can I ask a few questions?
248819	248939	Sure.
248959	251120	Just to make sure that everything is as appropriate for you.
251280	251561	Okay.
251981	254243	Can I have your name, age, and medical number?
254363	255443	My name is Naga.
256084	258406	That is your medical number is URN 23456.
260548	265036	And Patras is Jalan Sultan 5000 Kuala Lumpur.
265437	267941	If you can add it as well, if your age and weight.
268748	272251	My age is 50 years and I am 60 kgs.
272852	276095	Can you describe more about your symptoms?
276175	281319	Actually there is a flaking and itchiness between the toes.
281599	287264	So have you noticed any unusual symptoms such as swelling of the skin or fever?
287624	288425	No.
288505	290567	Have you experienced this before?
292447	293167	No.
293267	294848	How long do the symptoms persist?
294968	296749	From three weeks.
297489	300830	So I can understand that you might feel really uncomfortable.
301611	302491	So do not worry.
303071	304652	What might be the cost of the symptoms?
304672	305653	Do you have any idea?
305853	309454	Because I am wearing the shoes for a long time maybe.
309654	311975	I am working in the form.
312076	313756	Is it oppressive or tight?
316523	318744	So, what medical conditions do you have?
319004	321304	I don't have any medical conditions.
321344	322464	What allergies do you have?
322884	324365	No allergies.
324425	329426	I am allergic to peanuts, but it's a like, immediate anaphylaxis.
329986	331286	Okay, alright.
331426	335187	Are you currently taking any prescription medicines or the counter medicines?
335207	335367	No.
335707	337287	Supplements or any herbal treatments?
337367	337627	No.
338127	338547	Okay.
339008	341028	Do you have any preference in your formulation?
342329	344630	I would like to have cream.
345150	345591	Cream?
345671	346051	Okay.
346311	348112	Other than that, no preference?
348172	348372	No.
348933	349173	Okay.
349453	354016	So to be double confirmed, you want something for the itchiness of the toast?
354596	354796	Okay.
354897	355937	Thank you for information.
355977	357878	Do you mind if I check my resources?
358079	358419	Yes.
358439	359299	Okay.
384775	385555	Thank you.
385615	386415	Thanks for waiting.
386555	394857	So based on the information given, I believe that you are having tinnia probably because you wear the shoes all day because of the work.
395257	399979	So I would recommend you a product, it's Azo, it's an Azo antifungus.
400439	403399	So I would recommend you the product name, Quatrimazole.
403679	405000	It's a 1% cream.
405920	410481	So you apply a thin layer onto the affected areas, which is your toes.
411605	420029	and twice daily, so you clean and dry the affected area and the surrounded area as well, then you apply.
420950	425192	So please continue for two weeks after the symptoms subside.
425712	435517	You might experience some side effects such as burning or stinging sensation, but if you find it unbearable, please come back to your pharmacy so I can for a switch of the medication.
436753	444895	So in addition to the medication, I would advise you to avoid wearing the tight shoes for longer time.
445355	451096	So frequently change it and also change to not very tight shoes.
451396	459358	And also because you need to clean and dry the affected area, I would advise you to use a separate towel to clean or dry the affected area.
460059	461759	Okay, is everything clear for you?
461859	462059	Yeah.
463263	468848	If the symptoms persist after the final treatment, please consult a doctor for further investigation.
469168	470289	Do you have any questions for me?
470770	471731	No questions.
472091	475814	Okay, since I've given you a lot of information, do you mind to repeat what I say just now?
476435	478797	I understood all the information given by you.
479257	483661	Okay, so this is your written leaflet as well as your product.
484201	485542	This is for your guidance.
485762	486203	Thank you.
486263	487144	I hope you get well soon.
487904	488285	Thank you.
492132	493733	I'm sorry, I had to wait here.
493793	494434	Go ahead.
494774	497155	I have to lock up?
497255	497355	Yeah.
498876	499636	I see.
501497	503559	You want to go home?
504319	504619	Yes.
